type,parameter,value,page,text_evidence
parameter,time,0 | s,3,"riethylamine)gave99mg(89%yield)ofthepureester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H"
parameter,time,6 | H,3,"89%yield)ofthepureester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 ."
parameter,time,4 | H,3,"reester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 . 6 3 – H 7 z .3"
parameter,time,1 | H,3,", D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 . 6 3 – H 7 z .3 , 0 1H (m ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3"
parameter,time,3 | H,3,"6 3 – H 7 z .3 , 0 1H (m ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),"
parameter,time,1 | H,3," ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2"
parameter,time,1 | H,3,".1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H)"
parameter,time,1 | H,3," = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H)"
parameter,time,3 | H,3," 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13"
parameter,time,1 | H,3,"z,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,7"
parameter,time,9 | H,3,",J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,15"
parameter,time,2 | H,3,",1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, "
parameter,time,5 | H,3,",1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, 7 8 9 10 11 143.2,1"
parameter,time,1 | H,3,"4(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, 7 8 9 10 11 143.2,134.3,129.6,128.4,122"
